자치구,정류장수,노선수,승차총승객수,하차총승객수,승차평균승객수,하차평균승객수
강남구,499,91,8030483,7569213,128.767927,121.3715124
강동구,369,21,2890053,2830506,99.16119403,97.11806485
강북구,413,67,4825181,4671783,133.0203727,128.7915036
강서구,566,49,4681083,4652828,88.11947969,87.58759083
관악구,466,86,7655819,7792476,154.7536739,157.5160397
광진구,269,41,2749448,2753411,118.3525462,118.5231372
구로구,486,79,4942197,4730992,119.2356149,114.1400758
금천구,345,58,3776658,3581930,123.0983703,116.7513038
노원구,514,57,4353295,4292724,88.4762108,87.24516798
도봉구,359,46,3304305,3211421,106.8593558,103.8555397
동대문구,306,73,5240565,5115379,131.84143,128.6920174
동작구,438,94,5314274,5112276,124.2959654,119.5714185
마포구,562,97,5088461,4957596,103.9076392,101.2353434
서대문구,456,107,5863499,5796960,109.9145016,108.6671915
서초구,600,93,7221330,6977950,126.6877774,122.4180278
성동구,435,58,2807280,2746738,96.37736885,94.29888767
성북구,602,99,6236424,6231238,123.251922,123.1494298
송파구,415,55,5641742,5603488,114.2700721,113.4952605
양천구,319,56,4009172,3851173,97.62752642,93.78008572
영등포구,465,101,5739875,5783211,120.3378548,121.2464045
용산구,323,67,4189977,4086474,137.8916935,134.4854209
은평구,501,71,5201660,5122499,106.3951728,104.7760074
종로구,349,106,5468935,5205394,131.8896204,125.5340279
중구,178,103,3776675,3598932,121.0201237,115.3245105
중랑구,380,48,3792541,3740923,87.40386255,86.21426102
