자치구,요일,대상연월,도착시간,출발 시군구 코드,도착 시군구 코드,나이,평균 이동 시간(분),이동인구(합)
강남구,금,35890198980,2551432,3922340783,1993268850,7636325,5807210,10326678.77
강남구,목,32730357072,2300481,3530245872,1817777640,7023030,5066950,8248933.53
강남구,수,32333228416,2267841,3479938648,1795721920,6943905,4950610,8139792.13
강남구,월,32198156144,2240324,3470228388,1788220280,6910160,5015100,7863864.52
강남구,일,28260435448,2018831,3036222070,1569527260,5787615,4235990,4848301.17
강남구,토,33917901164,2392851,3694396069,1883731430,7065115,5265140,7899526.66
강남구,화,32082495456,2247833,3451594095,1781796720,6901880,4921290,8122561.08
강동구,금,21650791096,1605525,2280037722,1204582500,4723360,3509650,4695682.26
강동구,목,18920026076,1384934,1953110233,1052651250,4168135,2864080,3669844.04
강동구,수,18750579124,1368844,1930406537,1043223750,4141295,2803540,3671387.25
강동구,월,18512382812,1343355,1915680853,1029971250,4084530,2812840,3684923.47
강동구,일,17617225704,1306836,1880098671,980167500,3722915,2742750,2976162.94
강동구,토,21490645528,1584238,2291801178,1195672500,4581920,3409260,4151489.27
강동구,화,18646444064,1358343,1922088954,1037430000,4128890,2782950,3695924.91
강북구,금,16054593192,1209555,1447893861,880523820,3487420,2524250,2490836.76
강북구,목,13825900704,1025963,1208501424,758289840,3033855,2017040,1925923.3
강북구,수,13717721564,1017841,1193532134,752356690,3013395,1987170,1930225.72
강북구,월,13677078560,1014526,1199103331,750127600,2996770,2020370,1972912.65
강북구,일,13730662620,1026802,1288198523,753066450,2942280,2116680,1647505.96
강북구,토,16944695200,1265079,1592753259,929342000,3659280,2657420,2327765.34
강북구,화,13766048320,1021031,1200620173,755007200,3030070,1996780,1942379.39
강서구,금,25805881092,1870594,2696584041,1424272680,5475570,4154600,4913696.1
강서구,목,22817710380,1630457,2341777710,1259350200,4877770,3490160,3873224.88
강서구,수,22462842360,1606230,2293069520,1239764400,4817630,3402870,3877648.71
