자치구,주거지역,상업지역,공업지역,실가용 면적
소계,326501205,19974140,233442339,579917684
종로구,9830838,0,11204384,21035222
중구,6013132,0,25135,6038267
용산구,12181023,0,8443345,20624368
성동구,9921037,2051234,4332406,16304677
광진구,11591094,0,5274873,16865967
동대문구,13035860,0,383081,13418941
중랑구,10806188,0,7352187,18158375
성북구,17826125,0,6394593,24220718
강북구,10880451,0,12464840,23345291
도봉구,8095692,1489295,10835406,20420393
노원구,14093944,0,21026581,35120525
은평구,15356530,0,13902080,29258610
서대문구,15437826,0,1963055,17400881
마포구,13291622,0,9657426,22949048
양천구,12536636,92872,4043275,16672783
강서구,14714586,2919995,22500881,40135462
구로구,10266784,4195729,5157524,19620037
금천구,5844151,4121945,2895630,12861726
영등포구,8005840,5024926,8708804,21739570
동작구,13776916,0,2250329,16027245
관악구,15323211,0,13846468,29169679
서초구,19007372,0,26559364,45566736
강남구,24219973,0,13318517,37538490
송파구,21501135,0,10070225,31571360
강동구,12943240,78144,10831930,23853314
