자치구별(1),자치구별(2),2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
자치구별(1),자치구별(2),용도지역총합계,용도지역총합계,용도지역총합계,용도지역총합계,용도지역총합계,용도지역총합계,용도지역총합계,용도지역총합계,용도지역총합계,용도지역총합계,용도지역총합계,용도지역총합계,용도지역총합계,용도지역총합계,용도지역총합계,용도지역총합계,용도지역총합계,용도지역총합계,용도지역총합계,용도지역총합계,용도지역총합계,용도지역총합계,용도지역총합계,용도지역총합계
자치구별(1),자치구별(2),소계,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,상업지역,상업지역,상업지역,상업지역,상업지역,공업지역,공업지역,공업지역,공업지역,녹지지역,녹지지역,녹지지역,녹지지역
자치구별(1),자치구별(2),소계,소계,전용주거지역,전용주거지역,전용주거지역,일반주거지역,일반주거지역,일반주거지역,일반주거지역,일반주거지역,준주거지역,소계,중심,일반,근린,유통,소계,전용,일반,준공업,소계,보전,생산,지연
자치구별(1),자치구별(2),소계,소계,소계,제1종전용,제2종전용,소계,제1종일반,제2종일반(7층이하),제2종일반,제3종일반,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
서울시,소계,605598290,326501205,5402979,4558614,844365,306861981,67384506,84637047,56074321,98766108,14236244,25680606,366916,22904335,884915,1524439,19974140,0,0,19974140,233442339,72603,1057622,232312114
서울시,종로구,23972507,9830838,1589410,1589410,0,8042329,4354234,2167238,748007,772849,199099,2937285,0,2937285,0,0,0,0,0,0,11204384,0,0,11204384
서울시,중구,9974292,6013132,0,0,0,5740685,2767697,1264611,514821,1193556,272447,3936025,329654,3606371,0,0,0,0,0,0,25135,0,0,25135
서울시,용산구,21898766,12181023,224153,224153,0,11353194,4054906,3230832,1307808,2759647,603676,1274398,0,1274398,0,0,0,0,0,0,8443345,72603,0,8370742
서울시,성동구,16804426,9921037,0,0,0,9654729,2386869,3048494,1255166,2964200,266308,499749,0,423193,4152,72405,2051234,0,0,2051234,4332406,0,0,4332406
서울시,광진구,17075115,11591094,140987,140987,0,10462641,2239038,2895373,2766730,2561500,987465,209148,0,209148,0,0,0,0,0,0,5274873,0,0,5274873
서울시,동대문구,14245433,13035860,0,0,0,12464546,2655472,3515108,2377835,3916132,571314,826492,0,750785,70114,5593,0,0,0,0,383081,0,0,383081
서울시,중랑구,18531520,10806188,0,0,0,9966445,1033310,4261972,1626332,3044831,839743,373145,0,264217,108929,0,0,0,0,0,7352187,0,0,7352187
서울시,성북구,24621432,17826125,990658,990658,0,16267757,5148821,4397724,2421845,4299367,567710,400714,0,336318,64396,0,0,0,0,0,6394593,0,0,6394593
서울시,강북구,23636019,10880451,0,0,0,10458986,2840961,4188859,1081469,2347697,421465,290728,0,283614,7114,0,0,0,0,0,12464840,0,0,12464840
서울시,도봉구,20679052,8095692,0,0,0,7615179,1777031,2610536,681903,2545708,480513,258659,0,239431,19228,0,1489295,0,0,1489295,10835406,0,0,10835406
서울시,노원구,35595942,14093944,92455,13361,79094,13508650,1299711,2532142,2148608,7528190,492839,475417,0,467594,7823,0,0,0,0,0,21026581,0,0,21026581
서울시,은평구,29788522,15356530,796387,123485,672902,13499068,3069496,4287021,3915676,2226876,1061075,529912,0,430859,99053,-,0,0,0,0,13902080,0,0,13902080
서울시,서대문구,17685973,15437826,354625,354625,0,14727715,6585283,2359117,2904186,2879129,355486,285092,0,275937,9155,0,0,0,0,0,1963055,0,0,1963055
서울시,마포구,23890251,13291622,0,0,0,12453099,995909,4767516,2998772,3690903,838523,941203,37262,752393,94986,56562,0,0,0,0,9657426,0,0,9657426
서울시,양천구,17469613,12536636,0,0,0,12201316,1261200,3677835,2294540,4967741,335320,796830,0,733026,63804,0,92872,0,0,92872,4043275,0,0,4043275
서울시,강서구,41462488,14714586,157968,157968,0,13725756,2402717,4682225,1394936,5245878,830863,1327026,0,992742,86029,248255,2919995,0,0,2919995,22500881,0,371340,22129541
서울시,구로구,20136328,10266784,0,0,0,9937184,1276259,3880438,2063925,2716562,329600,516291,0,513589,2702,0,4195729,0,0,4195729,5157524,0,857,5156667
서울시,금천구,13012685,5844151,0,0,0,5571845,1391816,2349992,762659,1067378,272306,150959,0,109122,41837,0,4121945,0,0,4121945,2895630,0,0,2895630
서울시,영등포구,24354829,8005840,0,0,0,7018567,526257,3041099,1677220,1773992,987273,2615259,0,2562186,53073,0,5024926,0,0,5024926,8708804,0,0,8708804
서울시,동작구,16387882,13776916,0,0,0,13447897,3931133,3663469,2044863,3808432,329019,360637,0,277325,37014,46298,0,0,0,0,2250329,0,0,2250329
서울시,관악구,29563482,15323211,0,0,0,14625394,5241165,4977983,1314312,3091935,697818,393803,0,392024,1779,0,0,0,0,0,13846468,0,0,13846468
서울시,서초구,46899887,19007372,323269,230900,92369,18273103,3801834,2851443,3238542,8381284,411000,1333152,0,1325551,7601,0,0,0,0,0,26559364,0,0,26559364
서울시,강남구,39497268,24219973,614211,614211,0,23290937,3482402,3442618,5175142,11190775,314825,1958778,0,1958778,0,0,0,0,0,0,13318517,0,263088,13055429
서울시,송파구,33858375,21501135,72137,72137,0,20200706,2069855,4405832,3807453,9917565,1228293,2287015,0,1182622,9067,1095326,0,0,0,0,10070225,0,422337,9647888
서울시,강동구,24556203,12943240,46719,46719,0,12354255,791130,2137571,5551573,3873981,542266,702889,0,605828,97061,0,78144,0,0,78144,10831930,0,0,10831930
